"","BankDefaultIndex","Name","regnum","DefaultType","DefaultDate","BankLocalization"
"247","247","Анкор Банк","889","отозв.","03.03.2017","Казань"
"248","248","ГПБ-Ипотека","2403","ликв.","21.02.2017","Москва"
"249","249","Северо-Западный 1 Альянс Банк","766","отозв.","16.02.2017","Санкт-Петербург"
"250","250","Енисей","474","отозв.","09.02.2017","Красноярск"
"251","251","Тальменка-Банк","826","отозв.","23.01.2017","Барнаул"
"252","252","Новация","840","отозв.","23.01.2017","Майкоп"
"253","253","Сириус","3506","отозв.","23.01.2017","Омск"
"254","254","Юниаструм Банк","2771","ликв.","20.01.2017","Москва"
"255","255","Булгар Банк","1917","отозв.","16.01.2017","Ярославль"
"256","256","НКБ","2942","отозв.","29.12.2016","Москва"
"257","257","Банк на Красных Воротах","2472","отозв.","29.12.2016","Москва"
"258","258","Столичная расчетная палата","3419-К","отозв.","22.12.2016","Москва"
"259","259","Межрегиональный Клиринговый Банк","2543","отозв.","22.12.2016","Москва"
"260","260","Форус Банк","3457","отозв.","19.12.2016","Нижний Новгород"
"261","261","Идея Банк","430","отозв.","19.12.2016","Краснодар"
"262","262","Вологдабанк","992","отозв.","19.12.2016","Вологда"
"263","263","Миръ","3089","отозв.","19.12.2016","Москва"
"264","264","Вега-Банк","3270","отозв.","09.12.2016","Москва"
"265","265","Русский Финансовый Альянс","2035","отозв.","09.12.2016","Москва"
"266","266","Международный Банк Развития","2704","отозв.","09.12.2016","Москва"
"267","267","М2М Прайвет Банк","1414","отозв.","09.12.2016","Москва"
"268","268","Национальный Залоговый Банк","2944","отозв.","18.11.2016","Москва"
"269","269","Метрополь","1639","отозв.","18.11.2016","Москва"
"270","270","Бинбанк Мурманск","1276","ликв.","18.11.2016","Мурманск"
"271","271","Олма-Банк","3250","отозв.","18.11.2016","Москва"
"272","272","МДМ Банк","2562","ликв.","18.11.2016","Москва"
"273","273","Экспресс-Кредит","210","отозв.","16.11.2016","Москва"
"274","274","Бинбанк Тверь","777","ликв.","11.11.2016","Тверь"
"275","275","Камский Горизонт","2554","отозв.","03.11.2016","Набережные Челны"
"276","276","Вестинтербанк","3398","отозв.","27.10.2016","Москва"
"277","277","Кубанский Универсальный Банк","2898","отозв.","27.10.2016","Краснодар"
"278","278","Энтузиастбанк","3048","отозв.","27.10.2016","Москва"
"279","279","Финансовый Капитал","3288","отозв.","25.10.2016","Санкт-Петербург"
"280","280","Развитие","2729","отозв.","10.10.2016","Черкесск"
"281","281","АйМаниБанк","1975","отозв.","05.10.2016","Москва"
"282","282","Военно-Промышленный Банк","3065","отозв.","26.09.2016","Москва"
"283","283","Центркомбанк","2983","отозв.","26.09.2016","Москва"
"284","284","СМБ-Банк","3504","ликв.","19.09.2016","Санкт-Петербург"
"285","285","Региональный Коммерческий Банк","836","отозв.","19.09.2016","Димитровград"
"286","286","Финпромбанк (ФПБ Банк)","2157","отозв.","19.09.2016","Москва"
"287","287","РосинтерБанк","226","отозв.","19.09.2016","Москва"
"288","288","Роспромбанк","3204","отозв.","13.09.2016","Москва"
"289","289","Транзит","2688-К","отозв.","07.09.2016","Махачкала"
"290","290","Выборг-Банк","720","отозв.","07.09.2016","Санкт-Петербург"
"291","291","Азия Банк","3183","ликв.","07.09.2016","Москва"
"292","292","Тетраполис","1586","отозв.","02.09.2016","Санкт-Петербург"
"293","293","Ханты-Мансийский банк Открытие","1971","ликв.","22.08.2016","Москва"
"294","294","РУБанк","2813","отозв.","22.08.2016","Москва"
"295","295","БайкалБанк","2632","отозв.","18.08.2016","Улан-Удэ"
"296","296","ГРиС-Банк","1928","отозв.","18.08.2016","Пятигорск"
"297","297","Русский Трастовый Банк","1139","отозв.","16.08.2016","Москва"
"298","298","Газстройбанк","2919","отозв.","12.08.2016","Москва"
"299","299","Приполярком","507-К","ликв.","12.08.2016","Тюмень"
"300","300","Констанс-Банк","2228","отозв.","05.08.2016","Санкт-Петербург"
"301","301","Промэнергобанк","2728","отозв.","05.08.2016","Вологда"
"302","302","Экспо Финанс","2594","ликв.","01.08.2016","Москва"
"303","303","Кредо Финанс","793","отозв.","28.07.2016","Махачкала"
"304","304","Терра","3476","отозв.","28.07.2016","Москва"
"305","305","БФГ-Кредит","3068","отозв.","27.07.2016","Москва"
"306","306","Кредит-Москва","5","отозв.","22.07.2016","Москва"
"307","307","АББ","2937","отозв.","21.07.2016","Москва"
"308","308","Стратегия","2801","отозв.","21.07.2016","Москва"
"309","309","Арксбанк","1868","отозв.","19.07.2016","Москва"
"310","310","Ринвестбанк","3262","отозв.","14.07.2016","Рязань"
"311","311","ЕвроситиБанк","1869","отозв.","07.07.2016","Мытищи"
"312","312","Первобанк","3461","ликв.","01.07.2016","Самара"
"313","313","ПЧРБ Банк","3291","отозв.","01.07.2016","Москва"
"314","314","Приско Капитал Банк","2537","отозв.","29.06.2016","Москва"
"315","315","Интеркредит","3047","отозв.","29.06.2016","Москва"
"316","316","Рускобанк","138","отозв.","21.06.2016","Всеволожск"
"317","317","Бинбанк Смоленск","1957","ликв.","17.06.2016","Смоленск"
